algorithm,features,training_time,testing_time,best_estimator,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
DecisionTreeClassifier,0.894082809,0.893985479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NearestCentroid,0.874808313,0.874648375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdaBoostClassifier,0.805774417,0.803040545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMeans,0.4809899,0.325800869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algorithm,Accuracy,F1 score weighted average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGDClassifier,96.7347047,96.7346214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PassiveAggressiveClassifier,96.562847,96.5627621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LinearSVC,96.3777696,96.3775624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVC,96.3248903,96.3246888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BernoulliNB,95.5184813,95.5175021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ComplementNB,95.396859,95.3961985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultinomialNB,95.396859,95.3961927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogisticRegression,94.6459732,94.6452452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RandomForestClassifier,93.5434403,93.5433248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNeighborsClassifier,91.5155201,91.4937591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perceptron,89.913278,89.913062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DecisionTreeClassifier,89.4082809,89.3985479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NearestCentroid,87.4808313,87.4648375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdaBoostClassifier,80.5774417,80.3040545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMeans,48.09899,32.5800869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
